"deployment","start_date","start_time","end_date","end_time"
"NEFSC_GOM_202107_LUBEC","07/19/2021","17:36:00","10/10/2021","08:40:00"
"NEFSC_GOM_202107_PETITMANAN","07/23/2021","14:54:00","10/08/2021","10:09:00"
"NEFSC_GOM_202108_MATINICUS","08/27/2021","18:29:00","12/15/2021","17:07:00"
"NEFSC_GOM_202108_MDR","08/26/2021","17:15:00","12/10/2021","11:38:00"
"NEFSC_GOM_202108_MONHEGAN","08/27/2021","15:40:00","12/18/2021","16:59:00"
"NEFSC_GOM_202108_PORTLAND","08/21/2021","19:57:00","11/17/2021","16:59:00"
"NEFSC_GOM_202108_YORK","08/21/2021","17:10:00","12/27/2021","18:26:00"
"NEFSC_GOM_202111_LUBEC","11/04/2021","15:06:00","01/31/2022","16:09:00"
"NEFSC_GOM_202112_MATINICUS","12/15/2021","18:03:00","03/27/2022","18:05:00"
"NEFSC_GOM_202112_MDR","12/31/2021","16:13:00","04/13/2022","15:59:00"
"NEFSC_GOM_202112_MONHEGAN","12/18/2021","17:56:00","03/27/2022","15:54:00"
"NEFSC_GOM_202112_PETITMANAN","12/31/2021","15:01:00","04/13/2022","13:59:00"
"NEFSC_GOM_202112_YORK","12/27/2021","19:21:00","04/12/2022","15:59:00"
"NEFSC_GOM_202202_LUBEC","02/13/2022","15:48:00","07/07/2022","16:00:00"
"NEFSC_GOM_202203_MONHEGAN","03/27/2022","16:48:00","08/23/2022","14:30:00"
"NEFSC_GOM_202204_MDR","04/13/2022","16:55:00","09/07/2022","18:26:00"
"NEFSC_GOM_202204_PETITMANAN","04/13/2022","14:54:00","09/07/2022","20:58:00"
"NEFSC_GOM_202204_YORK","04/12/2022","16:48:00","09/20/2022","12:57:00"
"NEFSC_GOM_202208_MATINICUS","08/23/2022","16:39:00","02/03/2023","14:30:00"
"NEFSC_GOM_202208_MONHEGAN","08/23/2022","15:27:00","10/21/2022","13:25:00"
"NEFSC_GOM_202209_MDR","09/07/2022","19:13:00","02/01/2023","15:12:00"
"NEFSC_GOM_202209_PETITMANAN","09/07/2022","21:43:00","02/15/2023","22:04:00"
"NEFSC_GOM_202210_YORK","10/11/2022","15:32:00","03/12/2023","06:00:00"
"NEFSC_GOM_202301_LUBEC","01/31/2023","16:59:00","06/17/2023","16:21:00"
"NEFSC_GOM_202302_MDR","02/01/2023","16:20:00","07/05/2023","16:41:00"
"NEFSC_GOM_202302_SEALISLAND","02/27/2023","22:04:00","08/09/2023","15:55:00"
"NEFSC_GOM_202303_PETITMANAN","03/29/2023","15:29:00","09/09/2023","09:16:00"
"NEFSC_GOM_202303_YORK","03/31/2023","17:31:00","09/08/2023","09:46:00"
"NEFSC_GOM_202304_USTR01","04/19/2023","11:54:00","09/12/2023","10:08:00"
"NEFSC_GOM_202308_MDR","08/07/2023","15:06:00","11/13/2023","16:33:00"
"NEFSC_GOM_202309_USTR01","09/12/2023","11:26:00","01/24/2024","11:50:00"
"NEFSC_GOM_202310_ME02","10/18/2023","15:46:00","03/18/2024","10:44:00"
"NEFSC_GOM_202310_ME03","10/24/2023","18:33:00","03/15/2024","09:22:00"
"NEFSC_GOM_202310_ME04","10/24/2023","19:50:00","04/02/2024","18:09:00"
"NEFSC_GOM_202401_MDR","01/20/2024","14:43:00","07/02/2024","22:16:00"
"NEFSC_GOM_202401_USTR01","01/24/2024","12:23:00","07/09/2024","07:21:00"
"NEFSC_GOM_202404_ME03","04/02/2024","16:36:00","05/13/2024","12:16:00"
"NEFSC_GOM_202404_ME04","04/02/2024","18:32:00","09/25/2024","00:07:00"
"NEFSC_GOM_202409_MDR","09/29/2024","14:27:00","12/23/2024","06:17:00"
"NEFSC_GOM_202412_USTR01","12/09/2024","14:30:00","03/03/2025","10:51:00"
"NEFSC_SBNMS_202210_SB03","10/17/2022","15:26:00","12/21/2022","14:28:00"
"NEFSC_SBNMS_202212_SB03","12/21/2022","14:59:00","03/17/2023","02:46:00"
"NEFSC_SBNMS_202303_SB03","03/29/2023","16:53:00","06/01/2023","14:43:00"
"NEFSC_SBNMS_202306_SB03","06/01/2023","15:29:00","07/31/2023","14:25:00"
"NEFSC_SBNMS_202307_SB03","07/31/2023","14:41:00","12/08/2023","16:53:00"
"NEFSC_SBNMS_202312_SB03","12/08/2023","17:19:00","05/24/2024","15:19:00"
"NEFSC_SBNMS_202405_SB03",NA,NA,NA,NA
"NEFSC_SBNMS_202409_SB01","09/30/2024","17:42:00","03/03/2025","15:45:00"
"NEFSC_SBNMS_202409_SB03",NA,NA,NA,NA
"NEFSC_SBNMS_202503_SB01",NA,NA,NA,NA
"NEFSC_MA-RI_202011_COX01","11/15/2020","15:48:00","02/26/2021","15:49:00"
"NEFSC_MA-RI_202011_COX02","11/15/2020","15:16:00","02/26/2021","17:35:00"
"NEFSC_MA-RI_202102_COX01","02/26/2021","16:59:00","07/16/2021","12:07:00"
"NEFSC_MA-RI_202102_COX02","02/26/2021","18:33:00","07/16/2021","13:13:00"
"NEFSC_MA-RI_202107_COX01","07/16/2021","12:40:00","11/05/2021","14:33:00"
"NEFSC_MA-RI_202107_COX02","07/16/2021","13:35:00","11/05/2021","15:59:00"
"NEFSC_MA-RI_202110_NS01","10/13/2021","11:01:00","02/07/2022","19:05:00"
"NEFSC_MA-RI_202110_NS02","10/14/2021","19:14:00","02/07/2022","16:27:00"
"NEFSC_MA-RI_202111_COX01","11/05/2021","15:21:00","02/03/2022","10:41:00"
"NEFSC_MA-RI_202111_COX02","11/05/2021","16:37:00","02/05/2022","23:31:00"
"NEFSC_MA-RI_202202_COX01","02/22/2022","13:25:00","05/19/2022","14:13:00"
"NEFSC_MA-RI_202202_COX02","02/22/2022","14:25:00","05/19/2022","12:57:00"
"NEFSC_MA-RI_202202_NS01","02/07/2022","19:42:00","05/29/2022","20:04:00"
"NEFSC_MA-RI_202202_NS02","02/07/2022","17:08:00","05/30/2022","13:42:00"
"NEFSC_MA-RI_202205_COX01","05/19/2022","14:54:00","08/31/2022","16:29:00"
"NEFSC_MA-RI_202205_COX02","05/19/2022","13:39:00","10/22/2022","12:06:00"
"NEFSC_MA-RI_202205_NS02","05/30/2022","14:25:00","10/27/2022","23:56:00"
"NEFSC_MA-RI_202205_NS04","05/30/2022","18:24:00","11/09/2022","15:54:00"
"NEFSC_MA-RI_202205_NS05","05/30/2022","11:25:00","11/09/2022","21:42:00"
"NEFSC_MA-RI_202211_COX01","11/03/2022","18:16:00","02/02/2023","15:28:00"
"NEFSC_MA-RI_202211_COX03","11/03/2022","16:39:00","12/17/2022","17:22:00"
"NEFSC_MA-RI_202211_NS01","11/09/2022","13:58:00","04/14/2023","15:45:00"
"NEFSC_MA-RI_202211_NS02","11/09/2022","20:10:00","04/12/2023","12:47:00"
"NEFSC_MA-RI_202211_NS04","11/09/2022","16:24:00","04/13/2023","10:11:00"
"NEFSC_MA-RI_202211_NS05","11/09/2022","22:05:00","04/13/2023","14:29:00"
"NEFSC_MA-RI_202211_NS06","11/10/2022","00:09:00","02/06/2023","07:16:00"
"NEFSC_MA-RI_202211_NS07","11/10/2022","01:45:00","04/14/2023","13:45:00"
"NEFSC_MA-RI_202211_NS08","11/09/2022","11:31:00","04/14/2023","18:04:00"
"NEFSC_MA-RI_202211_NS09","11/09/2022","09:36:00","04/12/2023","20:07:00"
"NEFSC_MA-RI_202302_COX01","02/02/2023","16:06:00","04/15/2023","13:24:00"
"NEFSC_MA-RI_202302_COX03","02/02/2023","14:42:00","04/15/2023","15:09:00"
"NEFSC_MA-RI_202304_COX01","04/15/2023","13:46:00","09/07/2023","23:59:00"
"NEFSC_MA-RI_202304_COX03","04/15/2023","15:36:00","09/08/2023","10:14:00"
"NEFSC_MA-RI_202304_NS01","04/14/2023","16:17:00","08/27/2023","23:59:00"
"NEFSC_MA-RI_202304_NS02","04/14/2023","10:21:00","09/07/2023","12:55:00"
"NEFSC_MA-RI_202304_NS03","04/14/2023","12:19:00","09/06/2023","21:30:00"
"NEFSC_MA-RI_202304_NS05","04/13/2023","15:00:00","09/07/2023","10:23:00"
"NEFSC_MA-RI_202304_NS06","04/13/2023","22:09:00","09/07/2023","14:52:00"
"NEFSC_MA-RI_202304_NS07","04/14/2023","14:09:00","09/07/2023","00:22:00"
"NEFSC_MA-RI_202304_NS08","04/14/2023","18:30:00","09/04/2023","23:59:00"
"NEFSC_MA-RI_202304_NS10","04/12/2023","22:57:00","09/06/2023","16:52:00"
"NEFSC_MA-RI_202304_NS12","04/14/2023","19:50:00","09/07/2023","19:08:00"
"NEFSC_MA-RI_202304_NS13","04/14/2023","21:06:00","09/07/2023","21:15:00"
"NEFSC_MA-RI_202309_COX01","09/08/2023","13:17:00","02/02/2024","23:59:00"
"NEFSC_MA-RI_202309_COX02-PWN02","09/08/2023","00:29:00","02/03/2024","20:27:00"
"NEFSC_MA-RI_202309_COX03","09/08/2023","10:48:00","02/03/2024","17:14:00"
"NEFSC_MA-RI_202309_NS01","09/06/2023","19:32:00","12/19/2023","11:40:00"
"NEFSC-MA-RI_202309_NS03","09/06/2023","21:50:00","09/19/2023","12:26:00"
